Game Name,Version,Repository,Short Description
"kildclient","3.2.0-2+b1",main,"powerful MUD client with a built-in Perl interpreter"
"killbots","4:18.04.1-1",main,"port of the classic BSD console game robots"
"kiriki","4:18.04.1-1",main,"Yahtzee dice game"
"kjumpingcube","4:18.04.1-1",main,"simple tactical game"
"klickety","4:18.04.1-1",main,"SameGame puzzle game"
"klines","4:18.04.1-1",main,"color lines game"
"kmahjongg","4:18.04.1-1",main,"mahjongg solitaire game"
"kmines","4:18.04.1-1",main,"minesweeper game"
"knavalbattle","4:18.04.1-1",main,"battleship board game"
"knetwalk","4:18.04.1-1",main,"wire puzzle game"
"knights","18.12.0-1",main,"chess interface for the KDE Platform"
"kobodeluxe","0.5.1-10",main,"game of space battle"
"kolf","4:18.04.1-1",main,"miniature golf game"
"kollision","4:18.04.1-1",main,"simple ball dodging game"
"komi","1.04-5+b2",main,"Single player arcade game with Komi the Space Frog!"
"konquest","4:18.04.1-1",main,"simple turn-based strategy game"
"koules","1.4-25",main,"abstract space action game"
"kpat","4:18.04.1-1",main,"solitaire card games"
"krank","0.7+dfsg2-3",main,"game of dexterity where you match stones together"
"kraptor","0.0.20040403+ds-2",main,"Classic shoot 'em up scroller game"
"kreversi","4:18.04.1-1",main,"reversi board game"
"kshisen","4:18.04.1-1",main,"Shisen-Sho solitaire game"
"ksirk","4:18.04.1-1",main,"Risk strategy game"
"ksnakeduel","4:18.04.1-1",main,"snake race game"
"kspaceduel","4:18.04.1-1",main,"SpaceWar! arcade game"
"ksquares","4:18.04.1-1",main,"Dots and Boxes game"
"ksudoku","4:18.04.1-1",main,"Sudoku puzzle game and solver"
"ktuberling","4:18.04.1-1",main,"stamp drawing toy"
"kubrick","4:18.04.1-1",main,"game based on Rubik's Cube"
"laby","0.6.4-2+b1",main,"Learn how to program with ants and spider webs"
"lambdahack","0.8.3.0-4+b1",main,"tactical squad ASCII roguelike dungeon crawler game engine"
"late","0.1.0-13",main,"simple game of capturing balls"
"lbreakout2","2.6.5-2",main,"ball-and-paddle game with nice graphics"
"leela-zero","0.16-1",main,"Go engine with no human-provided knowledge, modeled after the AlphaGo Zero paper"
"lgc-pg","1.4.3-1",main,"LGeneral converter for Panzer General game data"
"lgeneral","1.4.3-1",main,"strategy game in the tradition of Panzer General"
"libdds0","2.9.0-7",main,"bridge double dummy solver - shared library"
"libgemrb","0.8.5-1",contrib,"Shared libraries and plugins for GemRB"
"liblizzie-java","0.6+dfsg1-4",main,"GUI for analyzing Go games in real time using Leela Zero"
"libretro-beetle-pce-fast","0.9.38.7+git20160609-1",main,"Libretro wrapper for the Beetle PCE FAST core"
"libretro-beetle-psx","0.9.38.6+git20151019-2",main,"Libretro wrapper for the Beetle PSX core"
"libretro-beetle-vb","0.9.36.1+git20160623-1",main,"Libretro wrapper for the Beetle VB core"
"libretro-beetle-wswan","0.9.35.1+git20160623-1",main,"Libretro wrapper for the Beetle WSWAN core"
"libretro-bsnes-mercury-accuracy","094+git20160126-2",main,"Libretro wrapper for bsnes-mercury accuracy core"
"libretro-bsnes-mercury-balanced","094+git20160126-2",main,"Libretro wrapper for bsnes-mercury balanced core"
"libretro-bsnes-mercury-performance","094+git20160126-2",main,"Libretro wrapper for bsnes-mercury performance core"
"libretro-desmume","0.9.11+git20160819+dfsg1-1",main,"Libretro wrapper for DeSmuME"
"libretro-gambatte","0.5.0+git20160522+dfsg1-1",main,"Libretro wrapper for Gambatte"
"libretro-genesisplusgx","1.7.4+git20160410-1",non-free,"Libretro wrapper for Genesis Plus GX"
"libretro-mgba","0.7.0-1",main,"Libretro wrapper for mGBA"
"libretro-mupen64plus","2.0+git20160207+dfsg2-1",main,"Libretro wrapper for Mupen64Plus"
"libretro-nestopia","1.49-2",main,"libretro wrapper for Nestopia"
"libretro-snes9x","1.53+git20160522-1",non-free,"Libretro wrapper for Snes9x"
"lierolibre","0.5-3+b1",main,"old-school earthworm action game"
"lightsoff","1:3.30.0-2",main,"Light puzzle game"
"lightyears","1.4-2",main,"single player real-time strategy game with steampunk sci-fi"
"lincity","1.13.1-13+b1",main,"build & maintain a city/country"
"lincity-ng","2.9~git20150314-3",main,"City simulator game with polished graphics"
"liquidwar","5.6.4-6",main,"truly original multiplayer wargame"
"littlewizard","1.2.2-4+b1",main,"development environment for children"
"lix","0.9.24-1",main,"Puzzle game inspired by Lemmings"
"lmarbles","1.0.8-0.2",main,"game where you build figures out of colored marbles"
"lmemory","0.6c-9",main,"Children's game based on the "memory" card game"
"lolcat","42.0.99-1",main,"colorful `cat`"
"londonlaw","0.2.1-20",main,"Scotland Yard board game with network support"
"lordsawar","0.3.1-4",main,"Clone of the popular SSG game Warlords II"
"love","11.1-2",main,"2D game development framework based on Lua and OpenGL"
"lskat","4:18.04.1-1",main,"Lieutnant Skat card game"
"ltris","1.0.19-3+b1",main,"very polished Tetris clone with CPU opponents"
"lugaru","1.2-4",main,"third person ninja rabbit fighting game"
"luola","1.3.2-12",main,"multiplayer cave-flying game"
"luola-levels","6.0-6",main,"level files for luola"
"luola-nostalgy","1.2-4",main,"nostalgy level files for luola"
"lure-of-the-temptress","1.1+ds2-3",main,"classic 2D point and click fantasy adventure game"
"macopix-gtk2","1.7.4-6+b1",main,"Mascot Constructive Pilot for X based on GTK+ 2"
"madbomber","0.2.5-8",main,"Kaboom! clone"
"maelstrom","1.4.3-L3.0.6+main-9",main,"Arcade-style game resembling Asteroids"
"magicmaze","1.4.3.6+dfsg-3",main,"rescue the maiden while avoiding the monsters"
"magicor","1.1-4",main,"puzzle game in the spirit of solomon's key"
"mah-jong","1.11-2+b2",main,"Original Mah-Jong game"
"mame","0.206+dfsg.1-1",main,"Multiple Arcade Machine Emulator (MAME)"
"mame-extra","0.206-1",non-free,"Additional files for the Multiple Arcade Machine Emulator (MAME)"
"manaplus","1.8.12.8-1",main,"Extended client for Evol Online and The Mana World"
"mancala","1.0.3-1+b1",main,"Implementation of the simple board game called Mancala"
"marsshooter","0.7.6-4",main,"ridiculous space shooter governed by the laws of gravity"
"matanza","0.13+ds1-6",main,"Space ascii war game"
"mazeofgalious","0.62.dfsg2-4+b1",main,"The Maze of Galious"
"mednafen","1.22.1+dfsg-2~deb10u1",main,"multi-platform emulator, including NES, GB/A, Lynx, PC Engine"
"mednaffe","0.8.8-1",main,"front-end for the Mednafen multi-system emulator"
"megaglest","3.13.0-2+b3",main,"3D multi-player real time strategy game"
"meritous","1.5-1",main,"action-adventure dungeon crawl game"
"mess-desktop-entries","0.2-4",main,"Desktop entries for MESS ROMs"
"mgba-qt","0.7.0-1",main,"Game Boy Advance emulator (Qt frontend for mGBA)"
"mgba-sdl","0.7.0-1",main,"Game Boy Advance emulator (SDL frontend for mGBA)"
"mgt","2.31-7+b2",main,"game record display/editor for the oriental game of go"
"miceamaze","4.2.1-3+b1",main,"video game with mice in a maze"
"micropolis","0.0.20071228-9",main,"real-time city management simulator"
"minetest","0.4.17.1+repack-1+deb10u1",main,"Multiplayer infinite-world block sandbox"
"minetestmapper","20180325-1",main,"map generator from minetest worlds"
"mirrormagic","3.0.0+dfsg2-1",main,"Shoot around obstacles to collect energy using your beam."
"mokomaze","0.7.1-1",main,"Ball in labyrinth game for the OpenMoko FreeRunner"
"monopd","0.10.2-3",main,"Monopoly game network server"
"monster-masher","1.8.1-8",main,"GPL'ed mash'em-up action game for GNOME"
"monsterz","0.7.1-9+b1",main,"arcade puzzle game"
"moon-buggy","1:1.0.51-12",main,"Drive a car across the moon"
"moon-lander","1:1.0-7",main,"game based on the classic moon lander"
"moria","5.7.10+20181022-3",main,"Rogue-like game with an infinite dungeon, also known as umoria"
"morris","0.2-5+b1",main,"Nine men's morris game"
"mousetrap","1.0c-2",main,"Simple game of ball chasing"
"mrboom","4.7-1",main,"8 player Bomberman"
"mrrescue","1.02e-1",main,"Mr Rescue is an arcade 2d action game"
"mu-cade","0.11.dfsg1-12+b1",main,"physics centipede invasion, smashup waggly shmup"
"mudlet","1:3.7.1-1.1",main,"Graphical MUD client with fast lua scripting support"
"mupen64plus-audio-sdl","2.5-4",main,"sdl audio output plugin for mupen64plus"
"mupen64plus-input-sdl","2.5-4",main,"sdl input device plugin for mupen64plus"
"mupen64plus-qt","1.12-1",main,"customizable launcher for Mupen64Plus"
"mupen64plus-rsp-hle","2.5-4",main,"high-level rsp emulation for mupen64plus"
"mupen64plus-rsp-z64","2.0.0+12+g5a0a580-4",main,"low-level rsp emulation for mupen64plus"
"mupen64plus-ui-console","2.5-4",main,"console frontend for mupen64plus"
"mupen64plus-video-arachnoid","2.0.0+13+g911d3b8-4",main,"Arachnoid high-level graphics emulation for mupen64plus"
"mupen64plus-video-glide64","2.0.0+33+g764d9fe-5",main,"Glide64 high-level graphics emulation for mupen64plus"
"mupen64plus-video-glide64mk2","2.5-6+b1",main,"Glide64Mk2 high-level graphics emulation for mupen64plus"
"mupen64plus-video-rice","2.5-5",main,"Rice's high-level graphics emulation for mupen64plus"
"mupen64plus-video-z64","2.0.0+13+g72af4f0-7",main,"low-level rdp emulation for mupen64plus"
"naev","0.7.0-2",main,"2D action/rpg space game"
"nestopia","1.49-2",main,"Nintendo Entertainment System/Famicom emulator"
"nethack-console","3.6.1-1",main,"dungeon crawl game - text-based interface"
"nethack-lisp","3.6.1-1",main,"dungeon crawl game - Lisp interface"
"nethack-x11","3.6.1-1",main,"dungeon crawl game - X11 interface"
"netmaze","0.81+jpg0.82-16",main,"3-D Multiplayer Combat Game"
"netpanzer","0.8.7+ds-2",main,"online multiplayer tactical warfare game"
"netrek-client-cow","3.3.1-4",main,"client for netrek online game"
"netris","0.52-10+b2",main,"free, networked version of T*tris"
"nettoe","1.5.1-2+b2",main,"networked version of Tic Tac Toe (3x3 Grid) for the console"
"neverball","1.6.0+git20180603-2",main,"3D floor-tilting game"
"neverputt","1.6.0+git20180603-2",main,"3D miniature golf game"
"nexuiz","2.5.2+dp-7",main,"Fast-paced 3D first-person shooter"
"nexuiz-textures","2.5.2-9",main,"Textures for Nexuiz"
"nikwi","0.0.20120213-4",main,"platform game where your goal is to collect candies"
"ninix-aya","5.0.9-1",main,"Interactive fake-AI Ukagaka-compatible desktop mascot program"
"ninvaders","0.1.1-3+b3",main,"A space invaders-like game using ncurses"
"njam","1.25-10",main,"pacman-like game with multiplayer support"
"noiz2sa","0.51a-10.1",main,"abstract arcade shooter"
"nsnake","3.0.1-2+b4",main,"classic snake game on the terminal"
"nudoku","1.0.0-1",main,"ncurses based sudoku games"
"numptyphysics","0.2+svn157-0.3+b1",main,"crayon based physics puzzle game"
"ogamesim","1.18-3",main,"Console Ogame Simulator"
"ogamesim-www","0.34-3",main,"WWW GUI for ogamesim"
"omega-rpg","1:0.90-pa9-16+b2",main,"text-based roguelike game"
"oneisenough","0.40-4",main,"2D platform game about the epic struggle of balls"
"oneko","1.2.sakura.6-14",main,"cat chases the cursor (now a mouse) around the screen"
"onscripter","20181218-1",main,"Visual novel games engine compatible to NScripter"
"open-adventure","1.4+git20170917.0.d512384-2",main,"colossal cave adventure, the 1995 430-point version"
"open-invaders","0.3-4.3+b1",main,"Space Invaders clone"
"openarena","0.8.8+dfsg-2",main,"fast-paced 3D first-person shooter"
"openarena-081-maps","0.8.5split-11",main,"OpenArena game data - maps from 0.8.1"
"openarena-081-misc","0.8.5split-11",main,"OpenArena game data - miscellaneous files from 0.8.1"
"openarena-081-players","0.8.5split-11",main,"OpenArena game data - player graphics from 0.8.1"
"openarena-081-players-mature","0.8.5split-11",main,"OpenArena game data - "mature" player graphics from 0.8.1"
"openarena-081-textures","0.8.5split-11",main,"OpenArena game data - textures from 0.8.1"
"openarena-oacmp1","3-4",main,"OpenArena Community Map Pack 1"
"opencity","0.0.6.5stable-4",main,"3D city simulator game"
"openclonk","8.1-1+b1",main,"multiplayer game of strategy, action and skill"
"openjazz","20190106-1",contrib,"Jazz Jackrabbit™ game engine reimplementation"
"openmw","0.45.0-2",contrib,"Reimplementation of The Elder Scrolls III: Morrowind"
"openmw-cs","0.45.0-2",contrib,"Replacement of The Elder Scrolls Construction Set"
"openmw-launcher","0.45.0-2",contrib,"Launcher for OpenMW using the Qt-Gui-Toolkit"
"openpref","0.1.3-2+b1",main,"card game against two virtual players"
"openssn","1.4-3",main,"modern submarine tactical simulator"
"openttd","1.8.0-2",main,"reimplementation of Transport Tycoon Deluxe with enhancements"
"openttd-opengfx","0.5.4-2",main,"free graphics set for use with the OpenTTD game"
"openttd-openmsx","0.3.1-5",main,"free music set for use with the OpenTTD game"
"openttd-opensfx","0.2.3-6",non-free,"sound set for use with the OpenTTD game"
"opentyrian","2.1.20130907+dfsg-3",contrib,"open-source port of the DOS shoot-em-up Tyrian"
"openyahtzee","1.9.3-2",main,"classic dice game of Yahtzee"
"orbital-eunuchs-sniper","1.30+svn20070601-4+b2",main,"anti-terrorist, pro-Eunuchs, satellite sniping game"
"osmose-emulator","1.4-1",main,"Sega Master System and Game Gear console emulator"
"out-of-order","1.0-2",non-free,"comedy science fiction adventure game"
"overgod","1.0-5",main,"bi-directional scrolling arcade game"
"pachi","1:1.0-9",main,"Platform game featuring Pachi el marciano"
"pacman","10-17.2+b2",main,"Chase Monsters in a Labyrinth"
"pacman4console","1.3-1+b4",main,"ncurses-based pacman game"
"palapeli","4:18.04.1-1",main,"jigsaw puzzle game"
"pangzero","1.4.1+git20121103-4",main,"action game that involves popping balloons with a harpoon"
"parsec47","0.2.dfsg1-9",main,"retromodern hispeed shmup"
"passage","4+dfsg1-3",main,"game about the passage through life"
"pathogen","1.1.1-5",main,"Puzzle game about matching 3D model structures"
"pathological","1.1.3-15",main,"puzzle game involving paths and marbles"
"pax-britannica","1.0.0-3",main,"one-button multi-player real-time strategy game"
"pcsx2","1.5.0~gfc1d9aef0+dfsg-1",main,"Playstation 2 emulator"
"pcsxr","1.9.94-4",main,"Sony PlayStation emulator"
"peg-e","1.2.6-1",main,"peg elimination solitaire game"
"peg-solitaire","2.2-2",main,"Board game for one player with pegs"
"pegsolitaire","0.3-1",main,"education game similar to Hi-Q"
"penguin-command","1.6.11-3+b1",main,"missile command clone"
"pente","2.2.5-8",main,"five in a row game for X and the console"
"pentobi","16.2-1",main,"clone of the strategy board game Blokus"
"performous","1.1+git20181118-2",main,"karaoke game that allows user supplied songs"
"pescetti","0.5-4",main,"Bridge Pseudo-duplimate generator"
"petris","1.0.1-10+b1",main,"Peter's Tetris - a Tetris(TM) clone"
"pgn-extract","18.10-1",main,"Portable Game Notation (PGN) extractor"
"phalanx","22+d051004-14",main,"Chess playing program"
"phlipple","0.8.5-4+b1",main,"reduce 3D shapes to a single square"
"pianobooster","0.6.7~svn156-1",main,"learn the piano just by playing a game"
"picmi","4:18.04.1-1",main,"Number logic game"
"pinball","0.3.1-14.1",main,"Emilia Pinball Emulator"
"pinball-dev","0.3.1-14.1",main,"Development files for the Emilia Pinball Emulator"
"pingus","0.7.6-4+b1",main,"Free Lemmings(TM) clone"
"pink-pony","1.4.1-2.1+b2",main,"3D racing game with ponies"
"pioneers","15.5-1",main,"Settlers of Catan board game"
"pioneers-console","15.5-1",main,"Settlers of Catan board game - console parts"
"pioneers-metaserver","15.5-1",main,"Settlers of Catan board game - metaserver"
"pipenightdreams","0.10.0-14+b1",main,"connect pipes to get the water flowing from inlet to outlet"
"pipewalker","0.9.4-2+b2",main,"Puzzle game - connect all computers to the net"
"piu-piu","1.0-1",main,"Horizontal scroller game in bash for cli."
"pixbros","0.6.3+dfsg-0.1",main,"2D game inspired in Bubble Bobble, Snow Bros and Tumble Pop"
"pixfrogger","1.0+dfsg-0.1",main,"help the frog cross the street"
"planetblupi","1.13.2-3",main,"Planet Blupi - A delirious spell-binding game"
"play.it","2.11.0-1",contrib,"Installer for drm-free commercial games"
"plee-the-bear","0.6.0-4+b1",main,"2D platform game"
"pokemmo-installer","1.4.7-2",contrib,"Installer and Launcher for the PokeMMO emulator"
"pokerth","1.1.2-1+b2",main,"Texas hold'em game"
"polygen","1.0.6.ds2-18",main,"generator of random sentences from grammar definitions"
"polyglot","2.0.4-2",main,"chess engine protocol adaptor, connects UCI engines to xboard"
"pong2","0.1.3-2",main,"Remake of old arcade classic in OpenGL"
"powder","118+dfsg1-1",non-free,"Graphical dungeon crawling game"
"powermanga","0.93.1-3",main,"vertical shoot 'em up with colourful 3D graphics"
"prboom-plus","2:2.5.1.5+svn4539+dfsg1-1",main,"enhanced clone of the classic first-person shooter Doom"
"primrose","6+dfsg1-4",main,"compelling tile-placement puzzle game"
"projectl","1.001.dfsg1-9",main,"sword action shooting"
"purity","1-19",main,"automated purity testing software"
"purity-ng","0.2.0-2.1",main,"Reimplementation of the classic "purity" game in Python"
"purity-off","0-4",main,"Sex related purity tests"
"pushover","0.0.5+git20180909-3+b1",main,"Fun puzzle game with dominos"
"pybik","3.0-3",main,"Rubik's cube game"
"pybik-bin","3.0-3",main,"Rubik's cube game - architecture dependent files"
"pybridge","0.3.0-7.2",main,"An online contract bridge game. Gtk client"
"pychess","0.12.2-1",main,"Chess graphical user interface for several chess engines"
"pykaraoke","0.7.5-1.2+deb10u1",main,"free CDG/MIDI/MPEG karaoke player"
"pykaraoke-bin","0.7.5-1.2+deb10u1",main,"free CDG/MIDI/MPEG karaoke player"
"pynagram","1.0.1-1",main,"anagram word game"
"pyracerz","0.2-8",main,"multiplayer top view 2D racing game"
"pysiogame","3.60.814-2",main,"educational activity pack for kids"
"pysolfc","2.0-4",main,"collection of more than 1000 solitaire card games"
"pysolfc-cardsets","2.0+dfsg2-2",main,"additional card graphics for PysolFC"
"pysycache","3.1-3.3",main,"Educational game to teach children to use the mouse"
"pysycache-buttons-beerabbit","3.1-3.3",main,"Bee-rabbit images for buttons activities for PySyCache"
"pysycache-buttons-crapaud","3.1-3.3",main,"Crapaud images for buttons activities for PySyCache"
"pysycache-buttons-ice","3.1-3.3",main,"Ice images for buttons activities for PySyCache"
"pysycache-buttons-wolf","3.1-3.3",main,"Wolf images for buttons activities for PySyCache"
"pysycache-click-dinosaurs","3.1-3.3",main,"Dinosaurs images for click activities for PySyCache"
"pysycache-click-sea","3.1-3.3",main,"Sea images for click activities for PySyCache"
"pysycache-dblclick-appleandpear","3.1-3.3",main,"Apple and pear images for double click activities for PySyCache"
"pysycache-dblclick-butterfly","3.1-3.3",main,"Butterfly images for double click activities for PySyCache"
"pysycache-images","3.1-3.3",main,"Images for PySyCache"
"pysycache-move-animals","3.1-3.3",main,"Animals images for mouse move activities for PySyCache"
"pysycache-move-food","3.1-3.3",main,"Food images for mouse move activities for PySyCache"
"pysycache-move-plants","3.1-3.3",main,"Plants images for mouse move activities for PySyCache"
"pysycache-move-sky","3.1-3.3",main,"Sky images for mouse move activities for PySyCache"
"pysycache-move-sports","3.1-3.3",main,"Sports images for mouse move activities for PySyCache"
"pysycache-puzzle-cartoons","3.1-3.3",main,"Cartoons images for puzzle activities for PySyCache"
"pysycache-puzzle-photos","3.1-3.3",main,"Photos for puzzle activities for PySyCache"
"pysycache-sounds","3.1-3.3",main,"Collection of sounds to be used with PySyCache"
"python-pykaraoke","0.7.5-1.2+deb10u1",main,"free CDG/MIDI/MPEG karaoke player"
"python-renpy","7.1.3+dfsg-2",main,"framework for developing visual-novel type games - Python module"
"python3-minecraftpi","0.22-1",main,"Raspberry PI Minecraft API python client library"
"qgo","2.1~git-20180413-1",main,"Go client and full featured SGF editor"
"qonk","0.3.1-3.2",main,"Small build-and-conquer strategy game with very simple rules"
"qstat","2.15-4",main,"Command-line tool for querying quake (and other) servers"
"quadrapassel","1:3.22.0-3",main,"popular Russian game, similar to Tetris"
"quake","63",contrib,"classic gothic/horror-themed first person shooter"
"quake2","63",contrib,"classic science-fiction-themed first person shooter"
"quake3","63",contrib,"Quake III Arena menu entry and launcher scripts"
"quake4","63",contrib,"science-fiction-themed first person shooter"
"quakespasm","0.93.1+dfsg-1",main,"engine for iD software's Quake"
"quarry","0.2.0.dfsg.1-4.1+b1",main,"Board games Go, Amazons, and Reversi (a.k.a. Othello)"
"qxw","20140331-1+b1",main,"advanced interactive crossword construction tool"
"rafkill","1.2.2-6",main,"vertical shoot'em-up similar to Raptor: Call of the Shadows"
"raincat","1.1.1.2-4",main,"2D puzzle game featuring a fuzzy little cat"
"randtype","1.13-11+b1",main,"semi-random text typer"
"rbdoom3bfg","1.2.0+dfsg~git20181013-1",main,"Doom3 BFG edition game engine"
"redeclipse","1.6.0-1",main,"free, casual arena shooter"
"reminiscence","0.2.1-2+b2",contrib,"free implementation of Flashback game engine"
"renpy","7.1.3+dfsg-2",main,"framework for developing visual-novel type games"
"renpy-demo","7.1.3+dfsg-2",main,"framework for developing visual-novel type games - demo"
"renpy-thequestion","7.1.3+dfsg-2",main,"simple and complete Ren'Py game"
"residualvm","0.3.1+dfsg-1",contrib,"interpreter to play LucasArts' Lua-based 3D adventures"
"ri-li","2.0.1+ds-9",main,"toy train simulation game"
"ricochet","0.9",main,"multi-user networked version of the Ricochet Robots game"
"rlvm","0.14-3+b2",main,"RealLive virtual machine clone"
"robocode","1.9.3.3-3",main,"Java programming game based on battle tanks"
"robotfindskitten","2.7182818.701-1+b1",main,"Zen Simulation of robot finding kitten"
"rockdodger","1.1.3-2",main,"Fly through an asteroid field avoiding rocks and greeblies"
"rocksndiamonds","4.1.1.0+dfsg-1",contrib,"arcade-style game"
"rolldice","1.16-1+b2",main,"virtual dice roller"
"rott","1.1.2+svn287-3",contrib,"SDL-Port of Rise of the Triad"
"rrootage","0.23a-12+b1",main,"arcade-style space shooting game"
"rtcw","1.51.b+dfsg1-3",contrib,"game engine for Return to Castle Wolfenstein"
"runescape","0.5-1",non-free,"Multiplayer online game set in a fantasy world"
"salliere","0.10-3",main,"Bridge duplicate scorer"
"sandboxgamemaker","2.8.2+dfsg-1+b3",contrib,"3D game maker and 3D game design program"
"sauerbraten","0.0.20140302-2",non-free,"3D first-person shooter game"
"scid","1:4.6.4+dfsg1-3",main,"chess database with play and training functionality"
"scorched3d","44+dfsg-3+b1",main,"3D artillery game similar to Scorched Earth"
"scottfree","1.14-10+b1",main,"Interpreter for Adventure International games"
"scummvm","2.0.0+dfsg-2",main,"engine for several graphical adventure games"
"sdl-ball","1.02-2",main,"brick-breaking game like DX-Ball/Arkanoid"
"seahorse-adventures","1.1+dfsg-3",main,"help Barbie the seahorse float on bubbles to the moon"
"searchandrescue","1.5.0-2+b1",main,"fly aircraft to search (for) and rescue people in distress"
"sgt-puzzles","20170606.272beef-1",main,"Simon Tatham's Portable Puzzle Collection - 1-player puzzle games"
"shogivar","1.55b-1+b1",main,"UI to play many shogi variants, with builtin computer player"
"simutrans","120.4.1-1",main,"transportation simulator"
"simutrans-makeobj","120.4.1-1",main,"data file compiler for Simutrans"
"simutrans-pak128.britain","1.18-1",main,"transportation simulator (data files)"
"simutrans-pak64","120.4.1-1",main,"transportation simulator (data files)"
"singularity","0.30c-1",main,"game where one becomes the singularity"
"sjaakii","1.4.1-1",main,"Sjaak II - computer player for many Chess variants, including Shogi and XiangQi"
"sjeng","11.2-8+b4",main,"chess program that plays many variants"
"sl","5.02-1",main,"Correct you if you type `sl' by mistake"
"slashem","0.0.7E7F3-9+b1",main,"variant of Nethack"
"slashem-gtk","0.0.7E7F3-9+b1",main,"variant of Nethack (Gtk window port)"
"slashem-sdl","0.0.7E7F3-9+b1",main,"variant of Nethack (SDL window port)"
"slashem-x11","0.0.7E7F3-9+b1",main,"variant of Nethack (X11 window port)"
"slimevolley","2.4.2+dfsg-2+b1",main,"unrealistic 2D volleyball simulation"
"slingshot","0.9-2",main,"simple 2D shooting strategy game set in space, with gravity"
"sludge-engine","2.2.2-2",main,"Runtime engine for playing SLUDGE adventure games"
"sm","0.25-1",main,"Displays a short text fullscreen"
"snake4","1.0.14-1+b1",main,"Snake game"
"snowballz","0.9.5.1-5",main,"fun RTS game featuring snowball fights with penguins"
"solarwolf","1.5-2.2",main,"Collect the boxes and don't become mad"
"sopwith","1.8.4-9",main,"port of the 1980's side-scrolling WWI dogfighting game"
"spacearyarya","1.0.2-7.1",main,"third person shooter in pseudo-3D"
"spacezero","0.80.06-1+b2",main,"Real Time Strategy 2D space combat, multiplayer net game."
"speedpad","1.0-2",main,"ncurses tool to test, train, and increase typing speed"
"spellcast","1.0-22",non-free,"Classic hand-waving multi-player game of spellcasting"
"spout","1.4-4",main,"Tiny abstract black and white 2D cave-shooter"
"spring","104.0+dfsg-3+b2",main,"modern full-3D RTS game engine"
"spring-javaai","104.0+dfsg-3",main,"modern full-3D RTS game engine (Java AIs)"
"springlobby","0.267+dfsg-1+b1",main,"single/multiplayer lobby for the Spring RTS engine"
"starfighter","1.7-1",main,"2D scrolling shooter game"
"starvoyager","0.4.4-9",main,"2D space arcade game, themed around 'Star Trek' - binary"
"stax","1.37-1",main,"collection of puzzle games similar to Tetris Attack"
"steam","1.0.0.68-1~deb10u1",non-free,"Valve's Steam digital software delivery system"
"steam-devices","1.0.0.68-1~deb10u1",non-free,"Device support for Steam-related hardware"
"steamcmd","0~20180105-3",non-free,"Command-line interface for Valve's Steam"
"stockfish","9-2",main,"strong chess engine, to play chess against"
"stormbaancoureur","2.1.6-2+b2",main,"simulated obstacle course for automobiles"
"sudoku","1.0.5-2+b3",main,"console based sudoku"
"supertransball2","1.5-9",main,"Thrust type of game"
"supertux","0.6.0-1",main,"Classic 2D jump 'n run sidescroller with Tux"
"supertuxkart","0.9.3-2",main,"3D kart racing game"
"swell-foop","1:3.30.0-2",main,"Colored ball puzzle game"
"tagua","1.0~alpha2-16-g618c6a0-2",main,"Board-game frontend for playing chess variants and other games"
"tali","1:3.22.0-3",main,"sort of poker with dice and less money"
"tanglet","1.5.3-2",main,"single player word finding game based on Boggle"
"tatan","1.0.dfsg1-8",main,"pointing STG shooter game"
"tdfsb","0.0.10-3",main,"3D filesystem browser"
"tecnoballz","0.93.1-9",main,"breaking block game ported from the Amiga platform"
"teeworlds","0.7.2-5+deb10u1",main,"online multi-player platform 2D shooter"
"tenace","0.16-2",main,"Bridge hand viewer and editor"
"tenmado","0.10-3",main,"hard-core shoot 'em up game in blue-or-red world"
"tennix","1.1-3.1",main,"2D tennis game"
"tetrinet-client","0.11+CVS20070911-2+b2",main,"textmode client for tetrinet, a multiplayer tetris-like game"
"tetrinetx","1.13.16-14+b1",main,"game server for Tetrinet"
"tetzle","2.1.3+dfsg1-2",main,"Jigsaw puzzle game"
"tf","1:4.0s1-20+b1",main,"Tinyfugue MUD client for TinyMUDs, DikuMUDs, and LPMUDs"
"tictactoe-ng","0.3.2.1-1.1",main,"fun, simple, tic tac toe game"
"tint","0.05",main,"Tetris clone for text based terminal"
"tintin++","2.01.5-2",main,"classic text-based MUD client"
"tinymux","2.10.1.14-1",main,"text-based multi-user virtual world server"
"titanion","0.3.dfsg1-7",main,"strike down super high-velocity swooping insects"
"toga2","3.0.0.1SE1-2",main,"computer chess engine, calculates chess moves"
"tomatoes","1.55-9",main,"I Have No Tomatoes - tomato smashing game"
"tome","2.4~0.git.2015.12.29-1.2+b2",non-free,"single-player text-based roguelike dungeon simulation game"
"toppler","1.1.6-3",main,"clone of the "Nebulus" game on old 8 and 16 bit machines"
"torcs","1.3.7+dfsg-4",main,"3D racing cars simulator game using OpenGL"
"torus-trooper","0.22.dfsg1-12",main,"speeding ship sailing through barrage"
"tourney-manager","20070820-4",main,"perl interface to run chess engine tournaments"
"trackballs","1.3.1-1",main,"OpenGL-based game of steering a marble through a labyrinth"
"transcend","0.3.dfsg2-3+b1",main,"retro-style, abstract 2D shooter"
"trigger-rally","0.6.6+dfsg-2",main,"free 3D rally racing car game"
"triplane","1.0.8-2+b1",main,"side-scrolling dogfighting game"
"trophy","2.0.3-2",main,"2D car racing action game"
